started,extinguished,counties,latitude,longitude,acresBurned,precipIntensity,precipIntensityMax,precipProbability,dewPoint,humidity,windSpeed,windGust,windBearing,uvIndex,temperatureMin,temperatureMax,cloudCover,visibility,pressure,wildfireIntensity
2013-02-24T08:16:00Z,2013-02-28T20:00:00Z,Inyo,36.60258,-118.017,406,0,0,0,3.794,0.202,8.618,22.83,294.6,0,31.076,58.788,,,,Medium
2013-05-01T09:12:00Z,2013-05-09T09:00:00Z,Tehama,40.19006,-121.596,6965,0.000956,0.004767,0.146667,30.05667,0.5,3.346667,12.61222,117.3333,7.666667,44.09111,64.22444,0.402222,9.815889,,High
2013-05-01T12:38:00Z,2013-05-04T18:30:00Z,Riverside,34.28888,-116.941,3166,0,0,0,9.54,0.23,3.895,16.175,95.75,11.75,36.06,64.4275,0.0125,9.82275,,High
2013-05-01T19:00:00Z,2013-05-05T18:00:00Z,Glenn,39.51414,-122.561,217,0,0,0,22.254,0.18,6.022,20.492,210.4,0,56.932,84.108,,,,Low
2013-05-15T12:50:00Z,2013-05-21T19:45:00Z,Kern,34.7861,-118.941,4346,0,0,0,33.40714,0.524286,4.89,17.07429,272.5714,11.71429,40.46143,64.12714,0.081429,9.997,1013.8,High
2013-05-23T12:20:00Z,2013-05-26T17:45:00Z,San Diego,33.12111,-116.526,2781,0,0.00015,0.0075,35.0425,0.4075,9.5175,20.2375,254.5,11,50.2575,70.825,0.43,8.83475,1012.375,High
2013-05-26T12:04:00Z,2013-05-31T06:15:00Z,San Diego,33.04458,-116.521,1271,0,0,0,41.43333,0.528333,9.805,20.55167,256,11.66667,51.04,69.785,0.365,8.2765,1011.133,High
2013-05-27T14:45:00Z,2013-05-30T19:30:00Z,Santa Barbara,34.55048,-119.824,1984,2.50E-05,0.000725,0.045,48.68,0.5975,8.0425,17.88,276.25,10.75,52.98,79.7975,0.1275,9.94475,1011.525,High
2013-06-10T00:46:00Z,2013-06-14T15:45:00Z,Sonoma,38.4229,-122.044,28,0.00224,0.0067,0.134,49.508,0.59,7.98,18.334,241.4,10.2,54.6,77.554,0.068,9.99,1012.3,Low
2013-06-16T14:12:00Z,2013-06-26T11:15:00Z,Mariposa,37.58202,-119.911,1708,0.000882,0.004382,0.104545,39.95273,0.432727,3.538182,13.21364,277.0909,,52.89364,77.35091,,,,High
2013-06-28T14:30:00Z,2013-07-01T06:00:00Z,San Bernardino,34.07156,-117.048,534,0,0,0,48.74,0.3,2.825,15.88,168.25,10,71.45,101.59,0.0825,9.997,1010.8,Medium
2013-07-06T12:55:00Z,2013-07-15T06:15:00Z,San Diego,32.95435,-116.474,7055,0.00011,0.00053,0.041,48.386,0.388,4.562,13.803,267.4,11.7,68.883,85.975,0.179,8.9325,1010.39,High
2013-07-08T12:45:00Z,2013-07-11T18:30:00Z,El Dorado,38.774,-120.298,572,0.0003,0.0015,0.0175,34.5375,0.2325,3.855,18.75,220.75,11,65.04,88.7775,0.0575,9.997,1017.3,Medium
2013-07-19T12:00:00Z,2013-07-22T18:45:00Z,Kern,34.882,-118.919,712,0,0,0,39.7075,0.2575,5.0975,16.275,215.75,11,67.47,89.7175,0.0425,9.997,1011.95,High
2013-08-01T16:01:00Z,2013-08-04T14:45:00Z,Butte,39.6612,-121.504,92,0,0,0,45.655,0.3575,4.07,11.6025,114.25,9.5,61.87,90.0475,0.0675,9.88775,1013.6,Low
2013-08-05T06:00:00Z,2013-08-14T08:30:00Z,Tuolumne,38.25108,-120.028,1070,2.00E-05,8.00E-05,0.002,37.287,0.353,2.156,9.856,208.9,9.9,53.772,82.776,0.06,9.6291,1012.69,Medium
