started,extinguished,counties,latitude,longitude,acresBurned,precipIntensity,precipIntensityMax,precipProbability,dewPoint,humidity,windSpeed,windGust,windBearing,uvIndex,temperatureMin,temperatureMax,cloudCover,visibility,pressure,wildfireIntensity,Predicted wildfireIntensity,explanation
2013-05-15T12:50:00Z,2013-05-21T19:45:00Z,Kern,34.79,-118.94,4346.0,0.00,0.00,0.00,33.41,0.52,4.89,17.07,272.57,11.71,40.46,64.13,0.08,10.00,1013.80,High,HIGH," precipProbability is 0.0 (that is less than or equal to 0.02) ,  humidity is 0.52 (that is more than 0.31),  dewPoint is 33.41 (that is less than or equal to 39.79) ,  windSpeed is 4.89 (that is more than 4.81) ,  pressure is 1013.8 (that is less than or equal to 1014.15) "
2013-05-23T12:20:00Z,2013-05-26T17:45:00Z,San Diego,33.12,-116.53,2781.0,0.00,0.00,0.01,35.04,0.41,9.52,20.24,254.50,11.00,50.26,70.83,0.43,8.83,1012.38,High,HIGH," windGust is 20.24 (that is more than 18.47) ,  pressure is 1012.38 (that is more than 1011.91) ,  windBearing is 254.5 (that is more than 169.74) ,  precipIntensity is 0.0 (that is less than or equal to 0.0),  precipProbability is 0.01 (that is more than 0.0) "
2013-05-26T12:04:00Z,2013-05-31T06:15:00Z,San Diego,33.04,-116.52,1271.0,0.00,0.00,0.00,41.43,0.53,9.80,20.55,256.00,11.67,51.04,69.78,0.36,8.28,1011.13,High,MEDIUM," precipIntensity is 0.0 (that is less than or equal to 0.0),  windGust is 20.55 (that is more than 18.47) ,  windBearing is 256.0 (that is more than 238.71) ,  precipProbability is 0.0 (that is less than or equal to 0.0) ,  pressure is 1011.13 (that is less than or equal to 1015.07) "
2013-05-27T14:45:00Z,2013-05-30T19:30:00Z,Santa Barbara,34.55,-119.82,1984.0,0.00,0.00,0.04,48.68,0.60,8.04,17.88,276.25,10.75,52.98,79.80,0.13,9.94,1011.52,High,LOW," precipProbability is 0.04 (that is more than 0.04) ,  precipIntensity is 0.0 (that is less than or equal to 0.0) ,  cloudCover is 0.13 (that is more than 0.1)"
2013-06-10T00:46:00Z,2013-06-14T15:45:00Z,Sonoma,38.42,-122.04,28.0,0.00,0.01,0.13,49.51,0.59,7.98,18.33,241.40,10.20,54.60,77.55,0.07,9.99,1012.30,Low,LOW," precipIntensity is 0.0 (that is more than 0.0) ,  cloudCover is 0.07 (that is more than 0.06) ,  pressure is 1012.3 (that is in range 1011.01, 1013.6) ,  dewPoint is 49.51 (that is less than or equal to 53.25)"
2013-06-28T14:30:00Z,2013-07-01T06:00:00Z,San Bernardino,34.07,-117.05,534.0,0.00,0.00,0.00,48.74,0.30,2.83,15.88,168.25,10.00,71.45,101.59,0.08,10.00,1010.80,Medium,MEDIUM," humidity is 0.3 (that is less than or equal to 0.36) ,  windSpeed is 2.83 (that is more than 2.46) ,  temperatureMax is 101.59 (that is more than 99.96) ,  windGust is 15.88 (that is less than or equal to 18.17),  precipIntensity is 0.0 (that is less than or equal to 0.0) "
2013-07-06T12:55:00Z,2013-07-15T06:15:00Z,San Diego,32.95,-116.47,7055.0,0.00,0.00,0.04,48.39,0.39,4.56,13.80,267.40,11.70,68.88,85.97,0.18,8.93,1010.39,High,LOW," pressure is 1010.39 (that is less than or equal to 1012.73) ,  precipIntensity is 0.0 (that is more than 0.0) ,  humidity is 0.39 (that is more than 0.34),  precipIntensityMax is 0.0 (that is less than or equal to 0.0) ,  temperatureMax is 85.97 (that is less than or equal to 86.95) "
2013-07-08T12:45:00Z,2013-07-11T18:30:00Z,El Dorado,38.77,-120.30,572.0,0.00,0.00,0.02,34.54,0.23,3.85,18.75,220.75,11.00,65.04,88.78,0.06,10.00,1017.30,Medium,MEDIUM," pressure is 1017.3 (that is more than 1015.54) ,  cloudCover is 0.06 (that is more than 0.05) ,  windGust is 18.75 (that is more than 18.55) ,  temperatureMax is 88.78 (that is more than 88.57) ,  dewPoint is 34.54 (that is less than or equal to 38.12)"
2013-07-19T12:00:00Z,2013-07-22T18:45:00Z,Kern,34.88,-118.92,712.0,0.00,0.00,0.00,39.71,0.26,5.10,16.27,215.75,11.00,67.47,89.72,0.04,10.00,1011.95,High,HIGH," humidity is 0.26 (that is less than or equal to 0.29) ,  temperatureMax is 89.72 (that is more than 86.05) ,  windGust is 16.27 (that is more than 15.95) ,  precipIntensity is 0.0 (that is less than or equal to 0.0) ,  windSpeed is 5.1 (that is more than 4.18) "
2013-08-01T16:01:00Z,2013-08-04T14:45:00Z,Butte,39.66,-121.50,92.0,0.00,0.00,0.00,45.66,0.36,4.07,11.60,114.25,9.50,61.87,90.05,0.07,9.89,1013.60,Low,LOW," dewPoint is 45.66 (that is in range 45.57, 52.47) ,  temperatureMin is 61.87 (that is less than or equal to 62.01) ,  pressure is 1013.6 (that is more than 1012.08) ,  precipIntensity is 0.0 (that is less than or equal to 0.0) "
